,Title,Year,Director,Showtime,Showtime_Date,Showtime_Time
113,MAGIC FARM,2025,Amalia Ulman,2025-05-08 18:15:00-05:00,2025-05-08,18:15:00
114,MAGIC FARM,2025,Amalia Ulman,2025-05-08 20:30:00-05:00,2025-05-08,20:30:00
115,LILLY,2024,Rachel Feldman,2025-05-09 17:45:00-05:00,2025-05-09,17:45:00
116,APRIL,2025,Dea Kulumbegashvili,2025-05-09 19:45:00-05:00,2025-05-09,19:45:00
117,LILLY,2024,Rachel Feldman,2025-05-10 18:15:00-05:00,2025-05-10,18:15:00
118,LILLY,2024,Rachel Feldman,2025-05-10 11:30:00-05:00,2025-05-10,11:30:00
119,LILLY,2024,Rachel Feldman,2025-05-10 16:15:00-05:00,2025-05-10,16:15:00
120,APRIL,2025,Dea Kulumbegashvili,2025-05-10 20:15:00-05:00,2025-05-10,20:15:00
121,APRIL,2025,Dea Kulumbegashvili,2025-05-10 13:30:00-05:00,2025-05-10,13:30:00
122,MAGIC FARM,2025,Amalia Ulman,2025-05-11 16:30:00-05:00,2025-05-11,16:30:00
123,MAGIC FARM,2025,Amalia Ulman,2025-05-11 14:15:00-05:00,2025-05-11,14:15:00
124,MAGIC FARM,2025,Amalia Ulman,2025-05-11 12:00:00-05:00,2025-05-11,12:00:00
125,LILLY,2024,Rachel Feldman,2025-05-11 16:15:00-05:00,2025-05-11,16:15:00
126,LILLY,2024,Rachel Feldman,2025-05-11 18:45:00-05:00,2025-05-11,18:45:00
127,LILLY,2024,Rachel Feldman,2025-05-11 11:30:00-05:00,2025-05-11,11:30:00
128,APRIL,2025,Dea Kulumbegashvili,2025-05-11 18:15:00-05:00,2025-05-11,18:15:00
129,APRIL,2025,Dea Kulumbegashvili,2025-05-11 13:30:00-05:00,2025-05-11,13:30:00
130,MAGIC FARM,2025,Amalia Ulman,2025-05-12 20:30:00-05:00,2025-05-12,20:30:00
131,LILLY,2024,Rachel Feldman,2025-05-12 18:15:00-05:00,2025-05-12,18:15:00
132,APRIL,2025,Dea Kulumbegashvili,2025-05-12 20:15:00-05:00,2025-05-12,20:15:00
133,MAGIC FARM,2025,Amalia Ulman,2025-05-13 20:30:00-05:00,2025-05-13,20:30:00
134,LILLY,2024,Rachel Feldman,2025-05-13 18:15:00-05:00,2025-05-13,18:15:00
135,APRIL,2025,Dea Kulumbegashvili,2025-05-13 20:15:00-05:00,2025-05-13,20:15:00
136,APRIL,2025,Dea Kulumbegashvili,2025-05-13 17:45:00-05:00,2025-05-13,17:45:00
137,MAGIC FARM,2025,Amalia Ulman,2025-05-14 20:30:00-05:00,2025-05-14,20:30:00
138,LILLY,2024,Rachel Feldman,2025-05-14 18:15:00-05:00,2025-05-14,18:15:00
139,APRIL,2025,Dea Kulumbegashvili,2025-05-14 17:45:00-05:00,2025-05-14,17:45:00
140,APRIL,2025,Dea Kulumbegashvili,2025-05-14 20:15:00-05:00,2025-05-14,20:15:00
141,MAGIC FARM,2025,Amalia Ulman,2025-05-15 20:30:00-05:00,2025-05-15,20:30:00
142,LILLY,2024,Rachel Feldman,2025-05-15 20:00:00-05:00,2025-05-15,20:00:00
143,APRIL,2025,Dea Kulumbegashvili,2025-05-15 17:45:00-05:00,2025-05-15,17:45:00
144,PICNIC AT HANGING ROCK,1975,Peter Weir,2025-05-16 16:30:00-05:00,2025-05-16,16:30:00
145,A MAN AND A WOMAN,1966,Claude Lelouch,2025-05-16 19:30:00-05:00,2025-05-16,19:30:00
146,A MAN AND A WOMAN,1966,Claude Lelouch,2025-05-16 17:15:00-05:00,2025-05-16,17:15:00
147,OPENING NIGHT: SLANTED,2025,Amy Wang,2025-05-16 19:00:00-05:00,2025-05-16,19:00:00
148,APRIL,2025,Dea Kulumbegashvili,2025-05-17 14:45:00-05:00,2025-05-17,14:45:00
149,PICNIC AT HANGING ROCK,1975,Peter Weir,2025-05-17 19:45:00-05:00,2025-05-17,19:45:00
150,A MAN AND A WOMAN,1966,Claude Lelouch,2025-05-17 17:30:00-05:00,2025-05-17,17:30:00
151,A MAN AND A WOMAN,1966,Claude Lelouch,2025-05-17 12:30:00-05:00,2025-05-17,12:30:00
152,THIRD ACT,2025,Tadashi Nakamura,2025-05-17 13:00:00-05:00,2025-05-17,13:00:00
153,"ONE CITY, MANY PERSPECTIVES: AAPI CHICAGO SHORTS",2025,Various directors,2025-05-17 16:00:00-05:00,2025-05-17,16:00:00
154,CAN I GET A WITNESS,2024,Ann Marie Fleming,2025-05-17 19:00:00-05:00,2025-05-17,19:00:00
155,APRIL,2025,Dea Kulumbegashvili,2025-05-18 14:45:00-05:00,2025-05-18,14:45:00
156,A MAN AND A WOMAN,1966,Claude Lelouch,2025-05-18 17:45:00-05:00,2025-05-18,17:45:00
157,A MAN AND A WOMAN,1966,Claude Lelouch,2025-05-18 12:30:00-05:00,2025-05-18,12:30:00
158,YEAR OF THE CAT,2025,Tony Nguyen,2025-05-18 12:00:00-05:00,2025-05-18,12:00:00
159,MARINIG AT MAKITA AKO [HEAR & SEE ME]: FILIPINO AMERICAN SHORTS,2025,Various directors,2025-05-18 14:30:00-05:00,2025-05-18,14:30:00
160,"BEN AND SUZANNE, A REUNION IN 4 PARTS",2024,Shaun Seneviratne,2025-05-18 17:30:00-05:00,2025-05-18,17:30:00
161,PICNIC AT HANGING ROCK,1975,Peter Weir,2025-05-19 20:00:00-05:00,2025-05-19,20:00:00
162,A MAN AND A WOMAN,1966,Claude Lelouch,2025-05-19 17:45:00-05:00,2025-05-19,17:45:00
163,FINDING HOME: AAPI SHORTS,2025,Various directors,2025-05-19 18:00:00-05:00,2025-05-19,18:00:00
164,FAR AND AWAY: AAPI DOCUMENTARY SHORTS,2025,Various directors,2025-05-19 20:30:00-05:00,2025-05-19,20:30:00
165,APRIL,2025,Dea Kulumbegashvili,2025-05-20 20:00:00-05:00,2025-05-20,20:00:00
166,A MAN AND A WOMAN,1966,Claude Lelouch,2025-05-20 17:45:00-05:00,2025-05-20,17:45:00
167,BITTERROOT,2024,Vera Brunner-Sung,2025-05-20 18:00:00-05:00,2025-05-20,18:00:00
168,CHOOSING OURSELVES: AAPI QUEER SHORTS,2025,Various directors,2025-05-20 20:30:00-05:00,2025-05-20,20:30:00
169,PICNIC AT HANGING ROCK,1975,Peter Weir,2025-05-21 17:45:00-05:00,2025-05-21,17:45:00
170,A MAN AND A WOMAN,1966,Claude Lelouch,2025-05-21 20:15:00-05:00,2025-05-21,20:15:00
171,NEW WAVE,2025,Elizabeth Ai,2025-05-21 18:00:00-05:00,2025-05-21,18:00:00
172,ROADBLOCKS: AAPI SHORTS,2025,Various directors,2025-05-21 20:30:00-05:00,2025-05-21,20:30:00
173,APRIL,2025,Dea Kulumbegashvili,2025-05-22 20:00:00-05:00,2025-05-22,20:00:00
174,A MAN AND A WOMAN,1966,Claude Lelouch,2025-05-22 17:45:00-05:00,2025-05-22,17:45:00
175,CLOSING NIGHT: THE WEDDING BANQUET,2025,Andrew Ahn,2025-05-22 19:00:00-05:00,2025-05-22,19:00:00
176,PICNIC AT HANGING ROCK,1975,Peter Weir,2025-05-23 18:00:00-05:00,2025-05-23,18:00:00
177,A MAN AND A WOMAN,1966,Claude Lelouch,2025-05-23 20:30:00-05:00,2025-05-23,20:30:00
178,JANE AUSTEN WRECKED MY LIFE,2025,Laura Piani,2025-05-23 20:15:00-05:00,2025-05-23,20:15:00
179,JANE AUSTEN WRECKED MY LIFE,2025,Laura Piani,2025-05-23 18:15:00-05:00,2025-05-23,18:15:00
180,PICNIC AT HANGING ROCK,1975,Peter Weir,2025-05-24 19:00:00-05:00,2025-05-24,19:00:00
181,PICNIC AT HANGING ROCK,1975,Peter Weir,2025-05-24 16:30:00-05:00,2025-05-24,16:30:00
182,A MAN AND A WOMAN,1966,Claude Lelouch,2025-05-24 12:15:00-05:00,2025-05-24,12:15:00
183,JANE AUSTEN WRECKED MY LIFE,2025,Laura Piani,2025-05-24 17:15:00-05:00,2025-05-24,17:15:00
184,JANE AUSTEN WRECKED MY LIFE,2025,Laura Piani,2025-05-24 12:00:00-05:00,2025-05-24,12:00:00
185,JANE AUSTEN WRECKED MY LIFE,2025,Laura Piani,2025-05-24 19:15:00-05:00,2025-05-24,19:15:00
186,JANE AUSTEN WRECKED MY LIFE,2025,Laura Piani,2025-05-24 14:30:00-05:00,2025-05-24,14:30:00
187,THE IMPORTANCE OF BEING EARNEST,2024,Max Webster,2025-05-24 14:00:00-05:00,2025-05-24,14:00:00
188,PICNIC AT HANGING ROCK,1975,Peter Weir,2025-05-25 16:30:00-05:00,2025-05-25,16:30:00
189,A MAN AND A WOMAN,1966,Claude Lelouch,2025-05-25 12:15:00-05:00,2025-05-25,12:15:00
190,JANE AUSTEN WRECKED MY LIFE,2025,Laura Piani,2025-05-25 12:00:00-05:00,2025-05-25,12:00:00
191,JANE AUSTEN WRECKED MY LIFE,2025,Laura Piani,2025-05-25 14:30:00-05:00,2025-05-25,14:30:00
192,JANE AUSTEN WRECKED MY LIFE,2025,Laura Piani,2025-05-25 17:15:00-05:00,2025-05-25,17:15:00
193,THE IMPORTANCE OF BEING EARNEST,2024,Max Webster,2025-05-25 14:00:00-05:00,2025-05-25,14:00:00
194,PICNIC AT HANGING ROCK,1975,Peter Weir,2025-05-26 15:30:00-05:00,2025-05-26,15:30:00
195,PICNIC AT HANGING ROCK,1975,Peter Weir,2025-05-26 18:00:00-05:00,2025-05-26,18:00:00
196,A MAN AND A WOMAN,1966,Claude Lelouch,2025-05-26 20:30:00-05:00,2025-05-26,20:30:00
