Title,Year,Director,Showtime,Showtime_Date,Showtime_Time
THE DEVIL IS A WOMAN,1935,Josef von Sternberg,2025-06-23 18:15:00-05:00,2025-06-23,18:15:00
IMAGES,1972,Robert Altman,2025-06-25 18:00:00-05:00,2025-06-25,18:00:00
LIGHTNING,1952,Mikio Naruse,2025-06-26 18:00:00-05:00,2025-06-26,18:00:00
FEMALE TROUBLE,1974,John Waters,2025-06-27 18:00:00-05:00,2025-06-27,18:00:00
THE DEVIL IS A WOMAN,1935,Josef von Sternberg,2025-06-28 18:00:00-05:00,2025-06-28,18:00:00
IMAGES,1972,Robert Altman,2025-06-28 14:00:00-05:00,2025-06-28,14:00:00
A STREETCAR NAMED DESIRE,2025,Benedict Andrews,2025-06-28 14:15:00-05:00,2025-06-28,14:15:00
KING KONG,1933,"Merian C. Cooper, Ernest B. Schoedsack",2025-06-29 12:00:00-05:00,2025-06-29,12:00:00
A STREETCAR NAMED DESIRE,2025,Benedict Andrews,2025-06-29 14:15:00-05:00,2025-06-29,14:15:00
42ND STREET,1933,Lloyd Bacom,2025-06-30 20:30:00-05:00,2025-06-30,20:30:00
FILMS FOR ONE TO EIGHT PROJECTORS,2008,Roger Beebe,2025-06-30 18:00:00-05:00,2025-06-30,18:00:00
