Title Searched,Year Searched,Director Searched,Link Retrieved,Title Result,Year Result,Director Result,Metascore,Runtime,Summary,Writers
Earth Mama,2023,Savanah Leaf,/movie/earth-mama/,Earth Mama,2023,Savanah Leaf,0.84,97,"A pregnant single mother, with two children in foster care, embraces her Bay Area community as she fights to reclaim her family.",Savanah Leaf
Showing Up,2022,Kelly Reichardt,/movie/showing-up/,Showing Up,2023,Kelly Reichardt,0.86,108,"A sculptor preparing to open a new show must balance her creative life with the daily dramas of family and friends, in Kelly Reichardt's vibrant and captivatingly funny portrait of art and craft.","Jonathan Raymond, Kelly Reichardt"
Oppenheimer,2023,Christopher Nolan,/movie/oppenheimer/,Oppenheimer,2023,Christopher Nolan,0.9,180,The story of American scientist J. Robert Oppenheimer and his role in the development of the atomic bomb.,"Christopher Nolan, Kai Bird, Martin Sherwin"
The Lighthouse,2019,Robert Eggers,/movie/the-lighthouse-2019/,The Lighthouse,2019,Robert Eggers,0.83,109,A hypnotic and hallucinatory tale of two lighthouse keepers on a remote and mysterious New England island in the 1890s.,"Robert Eggers, Max Eggers"
TÃ¡r,2022,Todd Field,/movie/tar-2022/,TÁR,2022,Todd Field,0.93,158,"Set in the international world of classical music, TÁR examines the changing nature of power and its impact and durability in our modern world through the life of iconic musician Lydia Tár (Cate Blanchett), the first-ever female chief conductor of a major German orchestra.",Todd Field
The Banshees of Inisherin,2022,Martin McDonagh,/movie/the-banshees-of-inisherin/,The Banshees of Inisherin,2022,Martin McDonagh,0.87,109,"On a remote island off the west coast of Ireland, lifelong friends Padraic (Colin Farrell) and Colm (Brendan Gleeson) find themselves at an impasse when Colm unexpectedly puts an end to their friendship. A stunned Padraic, aided by his sister Siobhan (Kerry Condon) and troubled young islander Dominic (Barry Keoghan), endeavours to repair...",Martin McDonagh
Thoroughbreds,2017,Cory Finley,/movie/thoroughbreds/,Thoroughbreds,2018,Cory Finley,0.75,92,"Childhood friends Lily and Amanda reconnect in suburban Connecticut after years of growing apart. Lily has turned into a polished, upper-class teenager, with a fancy boarding school on her transcript and a coveted internship on her resume; Amanda has developed a sharp wit and her own particular attitude, but all in the process of becomin...",Cory Finley
Azor,2021,Andreas Fontana,/movie/azor/,Azor,2021,Andreas Fontana,0.88,100,"Yvan De Wiel, a private banker from Geneva, goes to Argentina in the midst of a dictatorship to replace his partner, the object of the most worrying rumours, who disappeared overnight.","Andreas Fontana, Mariano Llinás"
Short Term 12,2013,Destin Daniel Cretton,/movie/short-term-12/,Short Term 12,2013,Destin Daniel Cretton,0.82,96,"Grace (Brie Larson), a young supervising staff member of a foster care facility, looks after troubled teens and reckons with her own past alongside her co-worker and longtime boyfriend, Mason (John Gallagher Jr.).",Destin Daniel Cretton
Moonlight,2016,Barry Jenkins,/movie/moonlight-2016/,Moonlight,2016,Barry Jenkins,0.99,111,"Moonlight is the tender, heartbreaking story of a young man’s struggle to find himself, told across three defining chapters in his life as he experiences the ecstasy, pain, and beauty of falling in love, while grappling with his own sexuality.","Barry Jenkins, Tarell Alvin McCraney"
